Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-30T14:54:40.844Z","pro-free-trial","grok-code-fast-1","No","0","72556","1078912","1572","1153040","0.04"
"2025-12-30T09:04:37.521Z","pro-free-trial","grok-code-fast-1","No","0","139210","1343168","5058","1487436","0.06"
"2025-12-30T08:53:55.418Z","pro-free-trial","grok-code-fast-1","No","0","6044","1127680","2364","1136088","0.03"
"2025-12-30T08:46:28.162Z","pro-free-trial","grok-code-fast-1","No","0","54446","1228096","4141","1286683","0.04"
"2025-12-30T08:32:13.750Z","pro-free-trial","grok-code-fast-1","No","0","39321","506688","2042","548051","0.02"
"2025-12-30T08:26:47.274Z","pro-free-trial","grok-code-fast-1","No","0","841","122752","483","124076","0.003"
"2025-12-30T08:21:17.618Z","pro-free-trial","grok-code-fast-1","No","0","5981","729664","1664","737309","0.02"
"2025-12-30T08:19:20.839Z","pro-free-trial","grok-code-fast-1","No","0","9286","262272","1176","272734","0.01"
"2025-12-30T08:03:41.279Z","pro-free-trial","grok-code-fast-1","No","0","14512","270784","1452","286748","0.01"
"2025-12-30T08:03:27.708Z","pro-free-trial","grok-code-fast-1","No","0","99","10880","28","11007","0.000"
"2025-12-30T08:03:16.094Z","pro-free-trial","grok-code-fast-1","No","0","1516","20864","102","22482","0.001"
"2025-12-30T08:01:47.118Z","pro-free-trial","grok-code-fast-1","No","0","0","0","0","0","0.00"
"2025-12-30T08:01:26.337Z","pro-free-trial","grok-code-fast-1","No","0","0","0","0","0","0.00"
"2025-12-30T07:53:34.488Z","pro-free-trial","grok-code-fast-1","No","0","171640","21248","11980","204868","0.08"
"2025-12-30T07:42:17.037Z","pro-free-trial","grok-code-fast-1","No","0","1768","907264","753","909785","0.02"
"2025-12-30T07:38:12.750Z","pro-free-trial","grok-code-fast-1","No","0","3354","1063104","2967","1069425","0.03"
"2025-12-30T07:25:06.088Z","pro-free-trial","grok-code-fast-1","No","0","98","172800","1269","174167","0.01"
"2025-12-30T07:21:51.620Z","pro-free-trial","grok-code-fast-1","No","0","162557","181632","1177","345366","0.04"
"2025-12-30T07:20:49.480Z","pro-free-trial","grok-code-fast-1","No","0","157","170304","778","171239","0.005"
"2025-12-30T07:20:04.460Z","pro-free-trial","grok-code-fast-1","No","0","317","508928","1202","510447","0.01"
"2025-12-30T07:17:43.930Z","pro-free-trial","grok-code-fast-1","No","0","3009","499968","1038","504015","0.01"
"2025-12-30T07:17:01.598Z","pro-free-trial","grok-code-fast-1","No","0","478","661696","1834","664008","0.02"
"2025-12-30T07:10:17.225Z","pro-free-trial","grok-code-fast-1","No","0","1611","326400","1245","329256","0.01"
"2025-12-30T07:08:59.517Z","pro-free-trial","grok-code-fast-1","No","0","149698","10496","1563","161757","0.03"
"2025-12-30T07:07:07.871Z","pro-free-trial","grok-code-fast-1","No","0","144847","373824","4762","523433","0.04"
"2025-12-30T07:05:47.109Z","pro-free-trial","grok-code-fast-1","No","0","2020","529280","4828","536128","0.02"
"2025-12-30T07:02:36.884Z","pro-free-trial","grok-code-fast-1","No","0","6014","332480","5870","344364","0.02"
"2025-12-30T06:59:53.872Z","pro-free-trial","grok-code-fast-1","No","0","0","0","0","0","0.00"
"2025-12-30T06:44:59.692Z","pro-free-trial","grok-code-fast-1","No","0","755","474816","3441","479012","0.01"
"2025-12-30T06:37:34.303Z","pro-free-trial","grok-code-fast-1","No","0","29083","587520","2764","619367","0.02"
"2025-12-30T06:33:05.053Z","pro-free-trial","grok-code-fast-1","No","0","14638","509184","15215","539037","0.04"
"2025-12-30T06:27:01.482Z","pro-free-trial","grok-code-fast-1","No","0","106402","241600","2888","350890","0.03"
"2025-12-30T06:17:19.671Z","pro-free-trial","auto","No","12910","0","329216","3168","345294","0.12"
"2025-12-30T06:13:38.707Z","pro-free-trial","auto","No","3738","0","207360","496","211594","0.06"
"2025-12-30T06:11:24.923Z","pro-free-trial","auto","No","4128","0","199936","623","204687","0.06"
"2025-12-30T06:09:32.886Z","pro-free-trial","auto","No","4371","0","191744","696","196811","0.06"
"2025-12-30T06:05:06.543Z","pro-free-trial","auto","No","5066","0","460288","1393","466747","0.13"
"2025-12-30T06:04:11.745Z","pro-free-trial","auto","No","6118","0","171264","783","178165","0.06"
"2025-12-30T06:00:26.423Z","pro-free-trial","auto","No","89296","0","164352","828","254476","0.16"
"2025-12-30T05:56:08.633Z","pro-free-trial","auto","No","15382","0","722944","2428","740754","0.21"
"2025-12-30T05:52:43.337Z","pro-free-trial","auto","No","4102","0","390400","1188","395690","0.11"
"2025-12-30T05:48:42.363Z","pro-free-trial","auto","No","11490","0","342272","7660","361422","0.15"
"2025-12-30T05:36:07.763Z","pro-free-trial","auto","No","34635","0","17920","211","52766","0.05"
"2025-12-30T05:23:59.394Z","pro-free-trial","auto","No","104907","0","969216","18680","1092803","0.49"
"2025-12-30T05:21:38.205Z","pro-free-trial","auto","No","25188","0","594176","6908","626272","0.22"
"2025-12-30T05:20:18.220Z","pro-free-trial","auto","No","19332","0","589312","1017","609661","0.18"
"2025-12-30T05:09:46.920Z","pro-free-trial","auto","No","47564","0","228096","5209","280869","0.15"
"2025-12-30T05:08:42.629Z","Errored, No Charge","auto","No","379","0","94208","0","94587","0.02"
"2025-12-30T05:08:30.800Z","pro-free-trial","auto","No","830","0","93696","0","94526","0.02"
"2025-12-30T05:07:20.848Z","pro-free-trial","auto","No","4519","0","272384","3006","279909","0.09"
"2025-12-30T05:00:28.380Z","pro-free-trial","auto","No","82598","0","333312","4891","420801","0.22"
"2025-12-30T04:49:41.561Z","pro-free-trial","auto","No","39260","0","1029632","10560","1079452","0.37"
"2025-12-30T04:46:30.791Z","pro-free-trial","auto","No","15399","0","142592","775","158766","0.06"
"2025-12-30T04:45:01.407Z","pro-free-trial","auto","No","13105","0","416768","2933","432806","0.14"
"2025-12-30T04:40:55.157Z","pro-free-trial","auto","No","75482","0","1023488","5798","1104768","0.39"
"2025-12-30T04:40:35.519Z","pro-free-trial","auto","No","8637","0","334080","268","342985","0.10"
"2025-12-30T04:36:27.220Z","pro-free-trial","auto","No","20899","2121","1922816","4250","1950086","0.53"
"2025-12-30T04:33:58.106Z","pro-free-trial","auto","No","5268","0","440576","963","446807","0.12"
"2025-12-30T04:32:47.887Z","pro-free-trial","auto","No","3196","0","428544","984","432724","0.12"
"2025-12-30T04:28:45.195Z","pro-free-trial","auto","No","29191","0","771328","13956","814475","0.31"
"2025-12-30T04:26:13.889Z","pro-free-trial","auto","No","10985","0","207360","5401","223746","0.10"
"2025-12-30T04:25:46.030Z","pro-free-trial","auto","No","15831","0","88064","0","103895","0.04"
"2025-12-30T04:24:11.600Z","pro-free-trial","auto","No","16650","0","370176","8109","394935","0.16"
"2025-12-30T04:21:44.367Z","pro-free-trial","auto","No","10159","0","158976","5271","174406","0.08"
"2025-12-30T04:18:34.168Z","pro-free-trial","auto","No","67615","0","150528","4944","223087","0.15"
"2025-12-30T04:16:11.583Z","pro-free-trial","auto","No","52959","0","173312","6803","233074","0.15"
"2025-12-30T04:15:35.437Z","pro-free-trial","auto","No","218","0","5632","91","5941","0.002"
"2025-12-30T04:12:19.033Z","pro-free-trial","auto","No","8124","0","68864","847","77835","0.03"
"2025-12-30T04:11:26.931Z","pro-free-trial","auto","No","0","0","0","0","0","0.00"
"2025-12-30T03:59:25.894Z","pro-free-trial","auto","No","109893","3460","1133568","18323","1265244","0.54"
"2025-12-30T03:57:56.386Z","pro-free-trial","auto","No","2900","5916","160256","3204","172276","0.07"
"2025-12-30T03:52:13.441Z","pro-free-trial","auto","No","153595","0","163584","1904","319083","0.24"
"2025-12-30T03:51:42.936Z","pro-free-trial","auto","No","732","0","155392","1322","157446","0.05"
"2025-12-30T03:50:39.797Z","pro-free-trial","auto","No","3526","0","305152","1757","310435","0.09"
"2025-12-30T03:49:12.290Z","pro-free-trial","auto","No","7248","0","441088","2254","450590","0.13"
"2025-12-30T03:47:20.834Z","pro-free-trial","auto","No","3293","0","285440","1861","290594","0.09"
"2025-12-30T03:45:56.585Z","pro-free-trial","auto","No","4711","0","276736","1523","282970","0.08"
"2025-12-30T03:33:27.934Z","pro-free-trial","auto","No","8309","0","534528","1628","544465","0.15"
"2025-12-30T03:26:04.559Z","pro-free-trial","auto","No","3679","0","254208","2442","260329","0.08"
"2025-12-30T03:19:59.601Z","pro-free-trial","auto","No","9167","0","486144","2511","497822","0.15"
"2025-12-30T03:15:58.998Z","pro-free-trial","auto","No","6090","0","224768","2112","232970","0.08"
"2025-12-30T03:13:27.623Z","pro-free-trial","auto","No","7062","0","322048","3257","332367","0.11"
"2025-12-30T03:02:59.632Z","pro-free-trial","auto","No","12392","0","587776","2478","602646","0.18"
"2025-12-30T02:59:05.140Z","pro-free-trial","auto","No","39814","0","558848","6985","605647","0.23"
"2025-12-30T02:38:20.659Z","pro-free-trial","auto","No","90191","0","1266944","8589","1365724","0.48"
"2025-12-30T02:34:45.543Z","pro-free-trial","auto","No","6426","0","625152","2806","634384","0.18"
"2025-12-30T02:27:18.294Z","pro-free-trial","auto","No","11488","0","1029632","4488","1045608","0.30"
"2025-12-30T02:23:45.780Z","pro-free-trial","auto","No","18290","0","542976","5740","567006","0.19"
"2025-12-30T02:20:20.393Z","pro-free-trial","auto","No","16232","0","1128448","5623","1150303","0.34"
"2025-12-30T02:12:07.397Z","pro-free-trial","auto","No","171927","0","1530112","19533","1721572","0.71"
"2025-12-30T02:10:06.655Z","pro-free-trial","auto","No","30825","0","444160","4986","479971","0.18"
"2025-12-30T02:05:21.097Z","pro-free-trial","auto","No","176145","0","638720","8687","823552","0.43"
"2025-12-30T02:02:25.221Z","pro-free-trial","auto","No","34086","0","457728","2932","494746","0.17"
"2025-12-30T01:59:19.560Z","pro-free-trial","auto","No","14462","0","408064","9443","431969","0.18"
"2025-12-30T01:55:54.735Z","pro-free-trial","auto","No","24209","0","954368","8333","986910","0.32"
"2025-12-30T01:55:04.826Z","pro-free-trial","auto","No","6671","0","207360","2152","216183","0.07"
